PromQL,Read Response
"predict_linear(prometheus_http_request_duration_seconds_bucket{timestreamDatabase=""correctness_testing"", timestreamTable=""correctness_testing""}[1h], 10)","{""status"":""success"",""data"":{""resultType"":""vector"",""result"":[{""metric"":{""handler"":""/"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""+Inf""},""value"":[1604605150,""0.9999999999998508""]},{""metric"":{""handler"":""/"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""0.1""},""value"":[1604605150,""0.9999999999998508""]},{""metric"":{""handler"":""/"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""0.2""},""value"":[1604605150,""0.9999999999998508""]},{""metric"":{""handler"":""/"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""0.4""},""value"":[1604605150,""0.9999999999998508""]},{""metric"":{""handler"":""/"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""1""},""value"":[1604605150,""0.9999999999998508""]},{""metric"":{""handler"":""/"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""120""},""value"":[1604605150,""1""]},{""metric"":{""handler"":""/"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""20""},""value"":[1604605150,""0.9999999999998508""]},{""metric"":{""handler"":""/"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""3""},""value"":[1604605150,""0.9999999999998508""]},{""metric"":{""handler"":""/"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""60""},""value"":[1604605150,""0.9999999999998508""]},{""metric"":{""handler"":""/"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""8""},""value"":[1604605150,""0.9999999999998508""]},{""metric"":{""handler"":""/api/v1/label/:name/values"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""+Inf""},""value"":[1604605150,""0.9999999999998508""]},{""metric"":{""handler"":""/api/v1/label/:name/values"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""0.1""},""value"":[1604605150,""0.9999999999998508""]},{""metric"":{""handler"":""/api/v1/label/:name/values"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""0.2""},""value"":[1604605150,""0.9999999999998508""]},{""metric"":{""handler"":""/api/v1/label/:name/values"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""0.4""},""value"":[1604605150,""0.9999999999998508""]},{""metric"":{""handler"":""/api/v1/label/:name/values"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""1""},""value"":[1604605150,""0.9999999999998508""]},{""metric"":{""handler"":""/api/v1/label/:name/values"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""120""},""value"":[1604605150,""0.9999999999998508""]},{""metric"":{""handler"":""/api/v1/label/:name/values"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""20""},""value"":[1604605150,""0.9999999999998508""]},{""metric"":{""handler"":""/api/v1/label/:name/values"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""3""},""value"":[1604605150,""0.9999999999998508""]},{""metric"":{""handler"":""/api/v1/label/:name/values"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""60""},""value"":[1604605150,""0.9999999999998508""]},{""metric"":{""handler"":""/api/v1/label/:name/values"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""8""},""value"":[1604605150,""0.9999999999998508""]},{""metric"":{""handler"":""/api/v1/query"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""+Inf""},""value"":[1604605150,""6.84890365759245""]},{""metric"":{""handler"":""/api/v1/query"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""0.1""},""value"":[1604605150,""-0.7111333170503134""]},{""metric"":{""handler"":""/api/v1/query"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""0.2""},""value"":[1604605150,""-0.7111333170503134""]},{""metric"":{""handler"":""/api/v1/query"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""0.4""},""value"":[1604605150,""1.177490106013557""]},{""metric"":{""handler"":""/api/v1/query"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""1""},""value"":[1604605150,""5.512381163744855""]},{""metric"":{""handler"":""/api/v1/query"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""120""},""value"":[1604605150,""6.84890365759245""]},{""metric"":{""handler"":""/api/v1/query"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""20""},""value"":[1604605150,""6.84890365759245""]},{""metric"":{""handler"":""/api/v1/query"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""3""},""value"":[1604605150,""6.84890365759245""]},{""metric"":{""handler"":""/api/v1/query"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""60""},""value"":[1604605150,""6.84890365759245""]},{""metric"":{""handler"":""/api/v1/query"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""8""},""value"":[1604605150,""6.84890365759245""]},{""metric"":{""handler"":""/graph"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""+Inf""},""value"":[1604605150,""0.9999999999998508""]},{""metric"":{""handler"":""/graph"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""0.1""},""value"":[1604605150,""0.9999999999998508""]},{""metric"":{""handler"":""/graph"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""0.2""},""value"":[1604605150,""0.9999999999998508""]},{""metric"":{""handler"":""/graph"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""0.4""},""value"":[1604605150,""0.9999999999998508""]},{""metric"":{""handler"":""/graph"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""1""},""value"":[1604605150,""0.9999999999998508""]},{""metric"":{""handler"":""/graph"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""120""},""value"":[1604605150,""0.9999999999998508""]},{""metric"":{""handler"":""/graph"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""20""},""value"":[1604605150,""0.9999999999998508""]},{""metric"":{""handler"":""/graph"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""3""},""value"":[1604605150,""0.9999999999998508""]},{""metric"":{""handler"":""/graph"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""60""},""value"":[1604605150,""0.9999999999998508""]},{""metric"":{""handler"":""/graph"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""8""},""value"":[1604605150,""0.9999999999998508""]},{""metric"":{""handler"":""/metrics"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""+Inf""},""value"":[1604605150,""7.093384731845187""]},{""metric"":{""handler"":""/metrics"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""0.1""},""value"":[1604605150,""7.093384731845187""]},{""metric"":{""handler"":""/metrics"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""0.2""},""value"":[1604605150,""7.093384731845187""]},{""metric"":{""handler"":""/metrics"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""0.4""},""value"":[1604605150,""7.093384731845187""]},{""metric"":{""handler"":""/metrics"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""1""},""value"":[1604605150,""7.093384731845187""]},{""metric"":{""handler"":""/metrics"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""120""},""value"":[1604605150,""7.093384731845187""]},{""metric"":{""handler"":""/metrics"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""20""},""value"":[1604605150,""7.093384731845187""]},{""metric"":{""handler"":""/metrics"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""3""},""value"":[1604605150,""7.093384731845187""]},{""metric"":{""handler"":""/metrics"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""60""},""value"":[1604605150,""7.093384731845187""]},{""metric"":{""handler"":""/metrics"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""8""},""value"":[1604605150,""7.093384731845187""]},{""metric"":{""handler"":""/static/*filepath"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""+Inf""},""value"":[1604605150,""1.9999999999997016""]},{""metric"":{""handler"":""/static/*filepath"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""0.1""},""value"":[1604605150,""1.9999999999997016""]},{""metric"":{""handler"":""/static/*filepath"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""0.2""},""value"":[1604605150,""1.9999999999997016""]},{""metric"":{""handler"":""/static/*filepath"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""0.4""},""value"":[1604605150,""1.9999999999997016""]},{""metric"":{""handler"":""/static/*filepath"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""1""},""value"":[1604605150,""1.9999999999997016""]},{""metric"":{""handler"":""/static/*filepath"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""120""},""value"":[1604605150,""1.9999999999997016""]},{""metric"":{""handler"":""/static/*filepath"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""20""},""value"":[1604605150,""1.9999999999997016""]},{""metric"":{""handler"":""/static/*filepath"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""3""},""value"":[1604605150,""1.9999999999997016""]},{""metric"":{""handler"":""/static/*filepath"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""60""},""value"":[1604605150,""1.9999999999997016""]},{""metric"":{""handler"":""/static/*filepath"",""instance"":""localhost:9090"",""job"":""prometheus"",""le"":""8""},""value"":[1604605150,""1.9999999999997016""]}]}}"
"rate(prometheus_http_requests_total{timestreamDatabase=""correctness_testing"", timestreamTable=""correctness_testing""}[5m])","{""status"":""success"",""data"":{""resultType"":""vector"",""result"":[{""metric"":{""code"":""200"",""handler"":""/api/v1/query"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""0.018055555555555554""]},{""metric"":{""code"":""200"",""handler"":""/metrics"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""0.04166666666666667""]}]}}"
"rate(prometheus_http_requests_total{timestreamDatabase=""correctness_testing"", timestreamTable=""correctness_testing""}[5m])[30m:1m]","{""status"":""success"",""data"":{""resultType"":""matrix"",""result"":[{""metric"":{""code"":""200"",""handler"":""/api/v1/label/:name/values"",""instance"":""localhost:9090"",""job"":""prometheus""},""values"":[[1604604120,""0""],[1604604180,""0""],[1604604240,""0""],[1604604300,""0""],[1604604360,""0""],[1604604420,""0""]]},{""metric"":{""code"":""200"",""handler"":""/api/v1/query"",""instance"":""localhost:9090"",""job"":""prometheus""},""values"":[[1604604120,""0.023286666666666667""],[1604604180,""0.039483465236839016""],[1604604240,""0.03904761904761905""],[1604604300,""0.04788076190476191""],[1604604360,""0.04338907936507937""],[1604604420,""0.026619600000000004""],[1604604480,""0.008333333333333333""],[1604604540,""0.008333333333333333""],[1604604960,""0.013943737084194389""],[1604605020,""0.016244245632280458""],[1604605080,""0.014950406770379808""],[1604605140,""0.018055555555555554""]]},{""metric"":{""code"":""200"",""handler"":""/graph"",""instance"":""localhost:9090"",""job"":""prometheus""},""values"":[[1604604120,""0""],[1604604180,""0""],[1604604240,""0""],[1604604300,""0""],[1604604360,""0""],[1604604420,""0""]]},{""metric"":{""code"":""200"",""handler"":""/metrics"",""instance"":""localhost:9090"",""job"":""prometheus""},""values"":[[1604604120,""0.015305333333333332""],[1604604180,""0.028638425665787313""],[1604604240,""0.028333333333333332""],[1604604300,""0.03303161904761905""],[1604604360,""0.029111238095238096""],[1604604420,""0.015544533333333332""],[1604605020,""0.018638666666666664""],[1604605080,""0.031971761346433224""],[1604605140,""0.04166666666666667""]]},{""metric"":{""code"":""200"",""handler"":""/static/*filepath"",""instance"":""localhost:9090"",""job"":""prometheus""},""values"":[[1604604120,""0""],[1604604180,""0""],[1604604240,""0""],[1604604300,""0""],[1604604360,""0""],[1604604420,""0""]]},{""metric"":{""code"":""302"",""handler"":""/"",""instance"":""localhost:9090"",""job"":""prometheus""},""values"":[[1604604120,""0""],[1604604180,""0""],[1604604240,""0""],[1604604300,""0""],[1604604360,""0""],[1604604420,""0""]]}]}}"
"rate(prometheus_http_requests_total{timestreamDatabase=""correctness_testing"", timestreamTable=""correctness_testing""}[5m] offset 1h)","{""status"":""success"",""data"":{""resultType"":""vector"",""result"":[]}}"
"resets(prometheus_http_requests_total{timestreamDatabase=""correctness_testing"", timestreamTable=""correctness_testing""}[1h])","{""status"":""success"",""data"":{""resultType"":""vector"",""result"":[{""metric"":{""code"":""200"",""handler"":""/api/v1/label/:name/values"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""0""]},{""metric"":{""code"":""200"",""handler"":""/api/v1/query"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""1""]},{""metric"":{""code"":""200"",""handler"":""/graph"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""0""]},{""metric"":{""code"":""200"",""handler"":""/metrics"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""1""]},{""metric"":{""code"":""200"",""handler"":""/static/*filepath"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""0""]},{""metric"":{""code"":""302"",""handler"":""/"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""0""]}]}}"
"round(prometheus_http_requests_total{timestreamDatabase=""correctness_testing"", timestreamTable=""correctness_testing""}, 1)","{""status"":""success"",""data"":{""resultType"":""vector"",""result"":[{""metric"":{""code"":""200"",""handler"":""/api/v1/query"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""8""]},{""metric"":{""code"":""200"",""handler"":""/metrics"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""12""]}]}}"
"scalar(prometheus_http_requests_total{timestreamDatabase=""correctness_testing"", timestreamTable=""correctness_testing""})","{""status"":""success"",""data"":{""resultType"":""scalar"",""result"":[1604605150,""NaN""]}}"
"sort(prometheus_http_requests_total{timestreamDatabase=""correctness_testing"", timestreamTable=""correctness_testing""})","{""status"":""success"",""data"":{""resultType"":""vector"",""result"":[{""metric"":{""__name__"":""prometheus_http_requests_total"",""code"":""200"",""handler"":""/api/v1/query"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""8""]},{""metric"":{""__name__"":""prometheus_http_requests_total"",""code"":""200"",""handler"":""/metrics"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""12""]}]}}"
"sort_desc(prometheus_http_requests_total{timestreamDatabase=""correctness_testing"", timestreamTable=""correctness_testing""})","{""status"":""success"",""data"":{""resultType"":""vector"",""result"":[{""metric"":{""__name__"":""prometheus_http_requests_total"",""code"":""200"",""handler"":""/metrics"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""12""]},{""metric"":{""__name__"":""prometheus_http_requests_total"",""code"":""200"",""handler"":""/api/v1/query"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""8""]}]}}"
"timestamp(prometheus_http_requests_total{timestreamDatabase=""correctness_testing"", timestreamTable=""correctness_testing""})","{""status"":""success"",""data"":{""resultType"":""vector"",""result"":[{""metric"":{""code"":""200"",""handler"":""/api/v1/query"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""1604605116.128""]},{""metric"":{""code"":""200"",""handler"":""/metrics"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""1604605116.128""]}]}}"
"vector(scalar(prometheus_http_requests_total{timestreamDatabase=""correctness_testing"", timestreamTable=""correctness_testing""}))","{""status"":""success"",""data"":{""resultType"":""vector"",""result"":[{""metric"":{},""value"":[1604605150,""NaN""]}]}}"
"year(prometheus_http_requests_total{timestreamDatabase=""correctness_testing"", timestreamTable=""correctness_testing""})","{""status"":""success"",""data"":{""resultType"":""vector"",""result"":[{""metric"":{""code"":""200"",""handler"":""/api/v1/query"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""1970""]},{""metric"":{""code"":""200"",""handler"":""/metrics"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""1970""]}]}}"
"avg_over_time(deriv(rate(prometheus_http_requests_total{timestreamDatabase=""correctness_testing"", timestreamTable=""correctness_testing""}[1h])[30s:5s])[10m:])","{""status"":""success"",""data"":{""resultType"":""vector"",""result"":[{""metric"":{""code"":""200"",""handler"":""/api/v1/label/:name/values"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""0""]},{""metric"":{""code"":""200"",""handler"":""/api/v1/query"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""0.0000020307349970838386""]},{""metric"":{""code"":""200"",""handler"":""/graph"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""0""]},{""metric"":{""code"":""200"",""handler"":""/metrics"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""0.000004191642057676422""]},{""metric"":{""code"":""200"",""handler"":""/static/*filepath"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""0""]},{""metric"":{""code"":""302"",""handler"":""/"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""0""]}]}}"
"min_over_time(deriv(rate(prometheus_http_requests_total{timestreamDatabase=""correctness_testing"", timestreamTable=""correctness_testing""}[1h])[30s:5s])[10m:])","{""status"":""success"",""data"":{""resultType"":""vector"",""result"":[{""metric"":{""code"":""200"",""handler"":""/api/v1/label/:name/values"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""0""]},{""metric"":{""code"":""200"",""handler"":""/api/v1/query"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""-0.0000058691360303773726""]},{""metric"":{""code"":""200"",""handler"":""/graph"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""0""]},{""metric"":{""code"":""200"",""handler"":""/metrics"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""-0.000009855334349684569""]},{""metric"":{""code"":""200"",""handler"":""/static/*filepath"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""0""]},{""metric"":{""code"":""302"",""handler"":""/"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""0""]}]}}"
"max_over_time(deriv(rate(prometheus_http_requests_total{timestreamDatabase=""correctness_testing"", timestreamTable=""correctness_testing""}[1h])[30s:5s])[10m:])","{""status"":""success"",""data"":{""resultType"":""vector"",""result"":[{""metric"":{""code"":""200"",""handler"":""/api/v1/label/:name/values"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""0""]},{""metric"":{""code"":""200"",""handler"":""/api/v1/query"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""0.000024600465275114645""]},{""metric"":{""code"":""200"",""handler"":""/graph"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""0""]},{""metric"":{""code"":""200"",""handler"":""/metrics"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""0.000019762929293777084""]},{""metric"":{""code"":""200"",""handler"":""/static/*filepath"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""0""]},{""metric"":{""code"":""302"",""handler"":""/"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""0""]}]}}"
"sum_over_time(deriv(rate(prometheus_http_requests_total{timestreamDatabase=""correctness_testing"", timestreamTable=""correctness_testing""}[1h])[30s:5s])[10m:])","{""status"":""success"",""data"":{""resultType"":""vector"",""result"":[{""metric"":{""code"":""200"",""handler"":""/api/v1/label/:name/values"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""0""]},{""metric"":{""code"":""200"",""handler"":""/api/v1/query"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""0.000020307349970838385""]},{""metric"":{""code"":""200"",""handler"":""/graph"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""0""]},{""metric"":{""code"":""200"",""handler"":""/metrics"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""0.00004191642057676422""]},{""metric"":{""code"":""200"",""handler"":""/static/*filepath"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""0""]},{""metric"":{""code"":""302"",""handler"":""/"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""0""]}]}}"
"count_over_time(deriv(rate(prometheus_http_requests_total{timestreamDatabase=""correctness_testing"", timestreamTable=""correctness_testing""}[1h])[30s:5s])[10m:])","{""status"":""success"",""data"":{""resultType"":""vector"",""result"":[{""metric"":{""code"":""200"",""handler"":""/api/v1/label/:name/values"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""10""]},{""metric"":{""code"":""200"",""handler"":""/api/v1/query"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""10""]},{""metric"":{""code"":""200"",""handler"":""/graph"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""10""]},{""metric"":{""code"":""200"",""handler"":""/metrics"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""10""]},{""metric"":{""code"":""200"",""handler"":""/static/*filepath"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""10""]},{""metric"":{""code"":""302"",""handler"":""/"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""10""]}]}}"
"quantile_over_time(0.5, deriv(rate(prometheus_http_requests_total{timestreamDatabase=""correctness_testing"", timestreamTable=""correctness_testing""}[1h])[30s:5s])[10m:])","{""status"":""success"",""data"":{""resultType"":""vector"",""result"":[{""metric"":{""code"":""200"",""handler"":""/api/v1/label/:name/values"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""0""]},{""metric"":{""code"":""200"",""handler"":""/api/v1/query"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""-0.00000000000000000007930164461608261""]},{""metric"":{""code"":""200"",""handler"":""/graph"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""0""]},{""metric"":{""code"":""200"",""handler"":""/metrics"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""0""]},{""metric"":{""code"":""200"",""handler"":""/static/*filepath"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""0""]},{""metric"":{""code"":""302"",""handler"":""/"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""0""]}]}}"
"stddev_over_time(deriv(rate(prometheus_http_requests_total{timestreamDatabase=""correctness_testing"", timestreamTable=""correctness_testing""}[1h])[30s:5s])[10m:])","{""status"":""success"",""data"":{""resultType"":""vector"",""result"":[{""metric"":{""code"":""200"",""handler"":""/api/v1/label/:name/values"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""0""]},{""metric"":{""code"":""200"",""handler"":""/api/v1/query"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""0.000007762256416118168""]},{""metric"":{""code"":""200"",""handler"":""/graph"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""0""]},{""metric"":{""code"":""200"",""handler"":""/metrics"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""0.000009226502739002935""]},{""metric"":{""code"":""200"",""handler"":""/static/*filepath"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""0""]},{""metric"":{""code"":""302"",""handler"":""/"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""0""]}]}}"
"stdvar_over_time(deriv(rate(prometheus_http_requests_total{timestreamDatabase=""correctness_testing"", timestreamTable=""correctness_testing""}[1h])[30s:5s])[10m:])","{""status"":""success"",""data"":{""resultType"":""vector"",""result"":[{""metric"":{""code"":""200"",""handler"":""/api/v1/label/:name/values"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""0""]},{""metric"":{""code"":""200"",""handler"":""/api/v1/query"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""0.00000000006025262466956767""]},{""metric"":{""code"":""200"",""handler"":""/graph"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""0""]},{""metric"":{""code"":""200"",""handler"":""/metrics"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""0.00000000008512835279282868""]},{""metric"":{""code"":""200"",""handler"":""/static/*filepath"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""0""]},{""metric"":{""code"":""302"",""handler"":""/"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""0""]}]}}"
"prometheus_http_requests_total{timestreamDatabase=""correctness_testing"", timestreamTable=""correctness_testing""} + max(prometheus_http_requests_total{timestreamDatabase=""correctness_testing"", timestreamTable=""correctness_testing""})","{""status"":""success"",""data"":{""resultType"":""vector"",""result"":[]}}"
"prometheus_http_requests_total{timestreamDatabase=""correctness_testing"", timestreamTable=""correctness_testing""} - max(prometheus_http_requests_total{timestreamDatabase=""correctness_testing"", timestreamTable=""correctness_testing""})","{""status"":""success"",""data"":{""resultType"":""vector"",""result"":[]}}"
"prometheus_http_requests_total{timestreamDatabase=""correctness_testing"", timestreamTable=""correctness_testing""} * min(prometheus_http_requests_total{timestreamDatabase=""correctness_testing"", timestreamTable=""correctness_testing""})","{""status"":""success"",""data"":{""resultType"":""vector"",""result"":[]}}"
"prometheus_http_requests_total{timestreamDatabase=""correctness_testing"", timestreamTable=""correctness_testing""} / max(prometheus_http_requests_total{timestreamDatabase=""correctness_testing"", timestreamTable=""correctness_testing""})","{""status"":""success"",""data"":{""resultType"":""vector"",""result"":[]}}"
"prometheus_http_requests_total{timestreamDatabase=""correctness_testing"", timestreamTable=""correctness_testing""} % 5","{""status"":""success"",""data"":{""resultType"":""vector"",""result"":[{""metric"":{""code"":""200"",""handler"":""/api/v1/query"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""3""]},{""metric"":{""code"":""200"",""handler"":""/metrics"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""2""]}]}}"
"prometheus_http_requests_total{timestreamDatabase=""correctness_testing"", timestreamTable=""correctness_testing""} ^ 2","{""status"":""success"",""data"":{""resultType"":""vector"",""result"":[{""metric"":{""code"":""200"",""handler"":""/api/v1/query"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""64""]},{""metric"":{""code"":""200"",""handler"":""/metrics"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""144""]}]}}"
"net_conntrack_dialer_conn_attempted_total{timestreamDatabase=""correctness_testing"", timestreamTable=""correctness_testing""} and prometheus_http_response_size_bytes_count{timestreamDatabase=""correctness_testing"", timestreamTable=""correctness_testing""}","{""status"":""success"",""data"":{""resultType"":""vector"",""result"":[]}}"
